target,method,EF1%,EF10%,ROC_AUC,BEDROC20,n,n_actives
KAT2A,AutoDock-NMDN,1.031806466729147,0.567171300280417,0.42720348175593265,0.03647209935476215,17615,194
KAT2A,DiffDock-GNINA,0.5707675557974959,1.3072857375182956,0.41356328723986857,0.060426072775191166,16776,176
KAT2A,DiffDock-NMDN,1.130812690134724,1.1301439658945498,0.4589941436843072,0.06310021906256039,16913,177
KAT2A,DiffDock,2.82703172533681,2.2602879317890996,0.6301241074418554,0.1345849014599993,16913,177
MAPK1,AutoDock-GNINA,0.9741190338324096,1.526119819670775,0.6226204952844205,0.08351252279771285,62806,308
MAPK1,AutoDock-NMDN,1.2988253784432129,1.2338841095210522,0.5935143950580444,0.06592738941775735,62806,308
MAPK1,DiffDock-GNINA,1.6310814002669582,1.1727964207780068,0.6006256413722738,0.06387369180817966,59388,307
MAPK1,DiffDock-NMDN,1.3048651202135666,1.4008401692626193,0.5835583919542469,0.07468562265448557,59388,307
MAPK1,DiffDock,0.6730062347519653,1.4119466929536881,0.5277448171206407,0.07488017658917263,62068,595
MTORC1,AutoDock-GNINA,0.0,0.9278350515463917,0.4974011786410943,0.04674954896354668,33060,97
MTORC1,AutoDock-NMDN,0.0,1.0309278350515463,0.5152953436389629,0.04741225653746569,33060,97
MTORC1,DiffDock-GNINA,2.06205715437053,0.7217200040296854,0.49075580490585036,0.05145202679032688,30703,97
MTORC1,DiffDock-NMDN,0.0,1.2372737537665948,0.5305433355258462,0.05433029507827182,30864,97
MTORC1,DiffDock,1.6255634095634097,1.1354488046535944,0.47053324856621764,0.06145178873812973,32579,185
OPRK1,AutoDock-GNINA,12.50120504263997,2.5000556132285334,0.7833703958443022,0.19296740117049652,269726,24
OPRK1,AutoDock-NMDN,0.0,0.8333333333333335,0.6633356323032465,0.03422506422804084,269710,24
OPRK1,DiffDock-GNINA,0.0,3.000121322414316,0.8077681388012619,0.1098332377520815,197828,20
OPRK1,DiffDock-NMDN,0.0,0.0,0.6400776474424643,0.010697710019388065,201248,21
OPRK1,DiffDock,0.0,0.0,0.2926140967240893,0.0002726622339291205,196907,21
PKM2,AutoDock-GNINA,2.0295636122407776,1.135886266457025,0.5604049431409,0.08911056744948194,12794,546
PKM2,AutoDock-NMDN,0.36904040841048713,0.7512093067214256,0.46858732880040743,0.0566626481758429,12795,546
PKM2,DiffDock-GNINA,0.0,0.8258170871559634,0.5029403157005209,0.057879123922809445,12802,545
PKM2,DiffDock-NMDN,0.7335164835164835,0.8795326453406078,0.4544245621262736,0.06418061751966223,12816,546
PKM2,DiffDock,2.2005494505494507,1.9056540649046505,0.628026456021566,0.14320136757221555,12816,546
PPARG,AutoDock-GNINA,3.727920227920228,5.18915090999221,0.8313239300372006,0.2437708982495624,5234,27
PPARG,AutoDock-NMDN,0.0,1.8539763472841866,0.714326344005745,0.0959429440788439,5236,27
PPARG,DiffDock-GNINA,0.0,3.7544204322200394,0.7646309805467929,0.14229018390416154,5096,24
PPARG,DiffDock-NMDN,0.0,2.085789129011133,0.7189964511041009,0.11958958672615996,5096,24
PPARG,DiffDock,0.0,0.8333333333333334,0.4966591147885474,0.04540138306761216,5100,24
TP53,AutoDock-GNINA,1.2793851717902351,0.7603893002149511,0.5147122273741014,0.046657185896987516,4245,79
TP53,AutoDock-NMDN,1.2793851717902351,1.6475101504657272,0.5440728744447213,0.08894802362473653,4245,79
TP53,DiffDock-GNINA,1.5738045738045738,0.7702482702482701,0.5274317617866006,0.059148923017531635,3785,65
TP53,DiffDock-NMDN,1.5738045738045738,1.3864468864468864,0.5978453267162945,0.08997474720184376,3785,65
TP53,DiffDock,1.5441295546558702,1.0780537048253582,0.5520610624371628,0.06438796829947038,3814,65
VDR,AutoDock-GNINA,0.5684217592423078,0.9084979352873834,0.49951608430500205,0.07114519103283198,18629,881
VDR,AutoDock-NMDN,0.5685438101863718,0.46545519017512305,0.47374911698012057,0.03622596845548738,18633,881
VDR,DiffDock-GNINA,0.8091442481742713,0.854918944007546,0.4783944697817786,0.06661079293536458,18519,866
VDR,DiffDock-NMDN,0.11559203545346733,0.358141719786945,0.45350318279681867,0.025341135714464415,18519,866
VDR,DiffDock,1.1559203545346732,1.143742911577663,0.6005008798692894,0.08583576203761699,18519,866
